r, lambda, epoch, N, ncs_res 
0.912624621,1.012994125,9,2,-453.7677225
0.910427034,1.033197939,9,2,-453.6465037
0.853072782,1.029020631,9,2,-453.5863042
0.93662335,1.018532436,9,2,-453.4179609
0.922722216,1.031613824,9,2,-453.275665
0.851334276,1.00297802,9,2,-453.1037911
0.894972333,1.016296271,9,2,-452.5201271
0.950852132,1.032362993,9,2,-452.0497354
0.868274499,1.01291113,9,2,-451.9717081
0.899166378,1.015751715,9,2,-451.6195718
0.860545176,1.022205628,9,2,-450.8804053
0.910921644,1.005540269,9,2,-450.4506509
0.938109633,1.002675143,9,2,-450.4411705
0.853598524,1.026361676,9,2,-450.3994022
0.921446184,1.007310607,9,2,-450.3960831
0.902617072,1.015129536,9,2,-450.2706802
0.86846671,1.01124158,9,2,-450.160271
0.888889813,1.009388541,9,2,-449.9733179
0.900387857,1.020803505,9,2,-449.7064515
0.970962357,1.000634035,9,2,-448.9555849
0.87946193,1.019919088,9,2,-448.8421714
0.983239094,1.007497781,9,2,-448.5504436
0.894932132,1.006584925,9,2,-448.2651926
0.968816016,1.014783781,9,2,-448.1644308
0.910690713,1.015608337,9,2,-448.1247616
0.915627563,1.013543449,9,2,-448.0383075
0.861024118,1.02468965,9,2,-447.7571298
0.934348092,1.002279375,9,2,-447.6331665
0.992210414,1.023937747,9,2,-447.5401442
0.964950754,1.009318144,9,2,-447.1247617
0.880320809,1.0199278,9,2,-446.871851
0.935551161,1.016217308,9,2,-446.6642669
0.930176593,1.026832958,9,2,-446.4048129
0.886170821,1.03292876,9,2,-445.8038996
0.912409273,1.00184712,9,2,-445.5814085
0.978870341,1.014306275,9,2,-445.3832846
0.992197681,1.011556446,9,2,-445.115418
0.910527129,1.034994343,9,2,-445.0754783
0.879639313,1.024437975,9,2,-444.8127563
0.907096892,1.021361815,9,2,-444.7236696
0.991474389,1.002192867,9,2,-443.9682343
0.874613966,1.001635561,9,2,-443.6599855
0.856583173,1.014764243,9,2,-443.273338
